Order_ID,Order_Date,Region,Category,Product,Customer_Segment,Ship_Mode,Quantity,Discount,Sales,Profit
ORD-1066,2024-01-09,West,Clothing,Sneakers,Small Business,Express,7,0.15,383.25,107.62
ORD-1067,2024-01-10,East,Furniture,Dining Table,Consumer,Standard,5,0.1,2212.75,263.17
ORD-1068,2024-01-10,North,Groceries,Spices,Small Business,Express,1,0.0,5.49,1.11
ORD-1069,2024-01-11,Central,Furniture,Desk,Consumer,Standard,6,0.0,2458.3,400.33
ORD-1070,2024-01-11,Central,Stationery,Backpack,Corporate,Standard,1,0.1,12.26,2.54
ORD-1071,2024-01-11,West,Electronics,Tablet,Corporate,Express,3,0.0,2112.12,305.61
ORD-1072,2024-01-11,North,Electronics,Laptop,Corporate,Standard,6,0.0,3384.1,498.11
ORD-1073,2024-01-11,East,Electronics,Headphones,Consumer,Standard,2,0.1,1600.31,290.89
ORD-1074,2024-01-11,South,Stationery,Marker Pack,Consumer,Same Day,3,0.0,122.65,31.86
ORD-1075,2024-01-11,East,Groceries,Snack Pack,Corporate,Express,7,0.05,166.96,15.7
ORD-1076,2024-01-11,Central,Stationery,Notebook,Consumer,Same Day,2,0.0,61.79,13.37
ORD-1077,2024-01-12,West,Stationery,Marker Pack,Corporate,Standard,4,0.15,84.8,28.62
ORD-1078,2024-01-12,East,Groceries,Cereal,Corporate,Express,6,0.05,55.0,5.48
ORD-1079,2024-01-12,East,Electronics,Smartwatch,Consumer,Standard,4,0.2,2799.74,233.86
ORD-1080,2024-01-12,West,Furniture,Sofa,Consumer,Standard,5,0.0,1854.91,281.27
ORD-1081,2024-01-12,North,Groceries,Cereal,Consumer,Standard,5,0.0,37.59,6.0
ORD-1082,2024-01-12,North,Clothing,Jacket,Consumer,Same Day,7,0.0,362.17,68.95
ORD-1083,2024-01-12,South,Electronics,Tablet,Small Business,Standard,1,0.1,583.16,99.75
ORD-1084,2024-01-12,Central,Electronics,Headphones,Corporate,Express,1,0.05,525.63,98.24
ORD-1085,2024-01-13,South,Electronics,Tablet,Consumer,Standard,4,0.0,2601.13,421.87
ORD-1086,2024-01-13,Central,Stationery,Pen Set,Corporate,Same Day,4,0.05,61.83,11.66
ORD-1087,2024-01-13,Central,Clothing,Cap,Consumer,Same Day,5,0.0,190.65,49.16
ORD-1088,2024-01-13,South,Furniture,Desk,Consumer,Standard,1,0.05,341.71,54.74
ORD-1089,2024-01-13,North,Stationery,Pen Set,Consumer,Express,1,0.1,10.92,2.46
ORD-1090,2024-01-13,South,Clothing,Sneakers,Corporate,Standard,2,0.05,108.16,21.36
ORD-1091,2024-01-13,South,Clothing,Jeans,Corporate,Standard,5,0.1,259.94,37.87
ORD-1092,2024-01-13,North,Furniture,Dining Table,Consumer,Express,1,0.1,182.06,5.3
ORD-1093,2024-01-14,South,Groceries,Snack Pack,Small Business,Standard,7,0.0,270.07,57.64
ORD-1094,2024-01-14,East,Groceries,Juice,Consumer,Standard,6,0.05,179.2,18.66
ORD-1095,2024-01-14,North,Groceries,Snack Pack,Consumer,Standard,3,0.0,35.54,8.46
ORD-1096,2024-01-14,South,Groceries,Spices,Consumer,Standard,3,0.1,61.29,5.89
ORD-1097,2024-01-15,West,Electronics,Laptop,Consumer,Standard,4,0.0,1980.03,298.71
ORD-1098,2024-01-15,South,Furniture,Sofa,Consumer,Standard,7,0.2,857.77,7.28
ORD-1099,2024-01-15,East,Groceries,Coffee,Small Business,Express,7,0.1,141.75,21.1
ORD-1100,2024-01-15,West,Stationery,Desk Organizer,Consumer,Standard,7,0.05,66.18,13.1
ORD-1101,2024-01-15,North,Groceries,Coffee,Consumer,Standard,4,0.1,30.79,3.97
ORD-1102,2024-01-15,North,Electronics,Laptop,Corporate,Same Day,5,0.1,3344.78,399.24
ORD-1103,2024-01-15,North,Stationery,Backpack,Small Business,Standard,3,0.0,145.57,39.3
ORD-1104,2024-01-15,North,Clothing,Jacket,Consumer,Standard,4,0.15,106.09,31.85
ORD-1105,2024-01-15,West,Groceries,Juice,Corporate,Standard,6,0.05,78.86,8.56
ORD-1106,2024-01-15,North,Electronics,Smartphone,Consumer,Standard,3,0.15,1122.8,140.81
ORD-1107,2024-01-15,East,Electronics,Smartphone,Consumer,Same Day,6,0.2,3328.88,503.44
ORD-1108,2024-01-16,North,Furniture,Desk,Consumer,Express,2,0.1,186.55,18.65
ORD-1109,2024-01-16,West,Groceries,Snack Pack,Consumer,Express,7,0.05,100.39,18.22
ORD-1110,2024-01-16,South,Clothing,Jeans,Consumer,Express,7,0.15,228.71,28.78
ORD-1111,2024-01-16,East,Furniture,Desk,Consumer,Standard,5,0.1,565.02,43.63
ORD-1112,2024-01-16,North,Furniture,Sofa,Corporate,Express,7,0.0,1342.29,213.66
ORD-1113,2024-01-16,South,Electronics,Smartwatch,Consumer,Standard,5,0.0,499.19,99.53
ORD-1114,2024-01-16,Central,Stationery,Pen Set,Corporate,Express,1,0.0,2.41,0.94
ORD-1115,2024-01-16,South,Groceries,Snack Pack,Consumer,Standard,5,0.0,155.49,30.0
ORD-1116,2024-01-16,South,Stationery,Marker Pack,Corporate,Standard,5,0.0,265.82,66.8
ORD-1117,2024-01-16,North,Clothing,Jeans,Consumer,Standard,7,0.0,172.49,43.93
ORD-1118,2024-01-16,North,Furniture,Bookshelf,Corporate,Standard,1,0.1,235.49,17.32
ORD-1119,2024-01-16,South,Groceries,Cereal,Consumer,Express,6,0.0,91.31,12.63
ORD-1120,2024-01-16,West,Furniture,Sofa,Consumer,Standard,4,0.05,1748.22,82.42
ORD-1121,2024-01-16,West,Groceries,Juice,Consumer,Standard,6,0.1,120.13,13.4
ORD-1122,2024-01-17,West,Clothing,T-Shirt,Consumer,Same Day,6,0.2,304.48,69.23
ORD-1123,2024-01-17,North,Groceries,Snack Pack,Consumer,Same Day,1,0.05,6.74,1.07
ORD-1124,2024-01-17,South,Groceries,Snack Pack,Consumer,Standard,3,0.1,81.99,11.54
ORD-1125,2024-01-17,North,Clothing,T-Shirt,Corporate,Standard,7,0.0,167.93,42.41
ORD-1126,2024-01-17,South,Clothing,T-Shirt,Corporate,Same Day,1,0.15,62.11,11.36
ORD-1127,2024-01-17,South,Stationery,Backpack,Corporate,Standard,1,0.0,9.39,3.69
ORD-1128,2024-01-18,East,Electronics,Laptop,Consumer,Standard,2,0.1,582.72,77.53
ORD-1129,2024-01-18,East,Electronics,Smartwatch,Small Business,Express,5,0.05,2411.03,167.74
ORD-1130,2024-01-18,East,Groceries,Juice,Consumer,Standard,3,0.0,58.42,10.12
ORD-1131,2024-01-18,East,Furniture,Desk,Small Business,Standard,3,0.0,1356.75,239.19
ORD-1132,2024-01-18,East,Clothing,Cap,Corporate,Standard,7,0.1,482.99,86.31
ORD-1133,2024-01-18,East,Stationery,Notebook,Consumer,Standard,5,0.15,253.23,73.23
ORD-1134,2024-01-18,West,Stationery,Marker Pack,Consumer,Express,7,0.0,305.33,88.93
ORD-1135,2024-01-18,North,Furniture,Dining Table,Consumer,Express,1,0.05,90.52,10.21
ORD-1136,2024-01-19,North,Furniture,Dining Table,Corporate,Standard,3,0.0,1041.02,168.67
ORD-1137,2024-01-19,East,Clothing,Sneakers,Corporate,Standard,7,0.05,263.37,37.91
ORD-1138,2024-01-19,East,Clothing,Cap,Consumer,Standard,2,0.1,103.82,14.64
ORD-1139,2024-01-19,Central,Clothing,Jacket,Consumer,Standard,7,0.05,151.63,31.7
ORD-1140,2024-01-19,West,Groceries,Snack Pack,Small Business,Standard,5,0.05,74.07,15.61
ORD-1141,2024-01-19,North,Furniture,Dining Table,Consumer,Standard,5,0.05,2304.81,227.15
ORD-1142,2024-01-19,East,Electronics,Smartphone,Corporate,Standard,2,0.1,1402.38,174.84
ORD-1143,2024-01-19,East,Electronics,Smartwatch,Consumer,Same Day,7,0.0,6007.9,721.01
ORD-1144,2024-01-19,East,Electronics,Headphones,Small Business,Same Day,7,0.0,2899.53,578.61
ORD-1145,2024-01-19,North,Clothing,Jacket,Small Business,Standard,2,0.0,168.68,52.44
ORD-1146,2024-01-19,Central,Electronics,Headphones,Corporate,Express,5,0.0,1607.94,339.59
ORD-1147,2024-01-20,East,Clothing,Jacket,Corporate,Standard,1,0.05,17.17,2.49
ORD-1148,2024-01-20,South,Groceries,Snack Pack,Corporate,Same Day,1,0.0,20.63,4.41
ORD-1149,2024-01-20,West,Furniture,Desk,Corporate,Express,6,0.05,1503.64,204.19
ORD-1150,2024-01-20,West,Furniture,Desk,Consumer,Standard,1,0.0,143.18,7.23
ORD-1151,2024-01-21,Central,Groceries,Snack Pack,Consumer,Same Day,1,0.15,24.16,2.25
ORD-1152,2024-01-21,South,Stationery,Notebook,Consumer,Express,1,0.0,59.97,14.5
ORD-1153,2024-01-21,North,Clothing,Sneakers,Small Business,Standard,6,0.15,344.62,78.07
ORD-1154,2024-01-21,West,Groceries,Snack Pack,Small Business,Standard,5,0.0,30.79,6.94
ORD-1155,2024-01-22,East,Furniture,Bookshelf,Consumer,Standard,6,0.1,347.58,19.03
ORD-1156,2024-01-22,West,Stationery,Pen Set,Corporate,Standard,4,0.05,121.76,43.94
ORD-1157,2024-01-22,East,Clothing,T-Shirt,Corporate,Express,5,0.0,110.93,27.15
ORD-1158,2024-01-23,West,Furniture,Office Chair,Corporate,Standard,1,0.15,288.85,28.67
ORD-1159,2024-01-23,Central,Furniture,Office Chair,Consumer,Standard,2,0.1,437.19,24.36
ORD-1160,2024-01-23,North,Stationery,Backpack,Consumer,Standard,4,0.1,185.47,66.88
ORD-1161,2024-01-23,South,Electronics,Smartwatch,Consumer,Standard,3,0.0,419.78,74.62
ORD-1162,2024-01-23,South,Furniture,Sofa,Corporate,Express,2,0.1,555.55,50.98
ORD-1163,2024-01-23,South,Furniture,Bookshelf,Consumer,Standard,2,0.2,96.31,8.56
ORD-1164,2024-01-23,Central,Clothing,Jacket,Corporate,Standard,2,0.15,93.71,10.36
ORD-1165,2024-01-23,Central,Stationery,Pen Set,Consumer,Express,4,0.1,96.46,33.62
ORD-1166,2024-01-23,West,Stationery,Marker Pack,Small Business,Standard,6,0.0,23.42,8.48
ORD-1167,2024-01-24,North,Stationery,Notebook,Consumer,Standard,3,0.15,50.05,14.17
ORD-1168,2024-01-24,West,Electronics,Tablet,Corporate,Express,7,0.1,4729.93,888.66
ORD-1169,2024-01-24,West,Clothing,Jeans,Consumer,Express,4,0.05,50.9,14.82
ORD-1170,2024-01-24,South,Electronics,Laptop,Consumer,Standard,1,0.0,160.55,30.98
ORD-1171,2024-01-24,West,Clothing,T-Shirt,Corporate,Standard,4,0.0,161.77,24.63
ORD-1172,2024-01-24,East,Stationery,Marker Pack,Consumer,Express,5,0.2,119.89,36.18
ORD-1173,2024-01-24,South,Groceries,Juice,Small Business,Express,3,0.05,68.84,6.06
ORD-1174,2024-01-24,South,Stationery,Backpack,Small Business,Standard,1,0.1,6.18,1.84
ORD-1175,2024-01-24,North,Clothing,Cap,Consumer,Standard,6,0.05,87.78,15.18
ORD-1176,2024-01-24,North,Electronics,Smartwatch,Corporate,Standard,7,0.0,4808.53,435.56
ORD-1177,2024-01-25,West,Furniture,Office Chair,Corporate,Standard,2,0.05,613.65,96.39
ORD-1178,2024-01-25,South,Electronics,Tablet,Consumer,Standard,2,0.1,517.58,41.43
ORD-1179,2024-01-25,North,Groceries,Cereal,Corporate,Express,3,0.05,113.61,13.05
ORD-1180,2024-01-25,North,Groceries,Coffee,Consumer,Standard,2,0.0,50.9,8.86
ORD-1181,2024-01-25,East,Clothing,Jeans,Consumer,Same Day,7,0.0,309.4,87.65
ORD-1182,2024-01-26,North,Clothing,Jeans,Consumer,Standard,6,0.0,505.01,87.05
ORD-1183,2024-01-26,West,Groceries,Spices,Corporate,Express,2,0.05,70.7,14.38
ORD-1184,2024-01-26,East,Stationery,Marker Pack,Consumer,Standard,7,0.0,350.52,122.57
ORD-1185,2024-01-26,North,Electronics,Laptop,Corporate,Standard,2,0.05,1233.17,216.45
ORD-1186,2024-01-26,South,Furniture,Bookshelf,Consumer,Standard,6,0.0,1730.75,255.15
ORD-1187,2024-01-26,East,Electronics,Laptop,Corporate,Express,7,0.0,1545.52,254.69
ORD-1188,2024-01-26,West,Stationery,Desk Organizer,Corporate,Express,3,0.05,116.99,38.57
ORD-1189,2024-01-26,West,Electronics,Tablet,Corporate,Standard,5,0.05,1679.48,112.31
ORD-1190,2024-01-26,North,Furniture,Sofa,Corporate,Express,4,0.2,1574.24,49.98
ORD-1191,2024-01-27,South,Clothing,Jacket,Corporate,Express,4,0.1,63.47,17.16
ORD-1192,2024-01-27,West,Electronics,Headphones,Corporate,Express,7,0.05,1458.36,183.23
ORD-1193,2024-01-27,South,Groceries,Snack Pack,Corporate,Standard,2,0.05,66.26,9.44
ORD-1194,2024-01-27,South,Furniture,Office Chair,Corporate,Standard,2,0.0,680.01,106.82
ORD-1195,2024-01-28,Central,Stationery,Desk Organizer,Consumer,Standard,7,0.15,318.39,86.07
ORD-1196,2024-01-28,Central,Clothing,Sneakers,Small Business,Express,5,0.0,236.33,72.49
ORD-1197,2024-01-28,North,Stationery,Backpack,Consumer,Same Day,3,0.05,6.58,2.21
ORD-1198,2024-01-28,West,Clothing,Jeans,Consumer,Standard,3,0.05,240.34,73.83
ORD-1199,2024-01-28,West,Clothing,Jacket,Consumer,Express,1,0.05,57.5,15.08
ORD-1200,2024-01-28,West,Groceries,Snack Pack,Corporate,Standard,6,0.1,155.99,31.55
ORD-1201,2024-01-29,East,Furniture,Office Chair,Small Business,Express,5,0.1,688.24,24.97
ORD-1202,2024-01-29,North,Electronics,Tablet,Consumer,Standard,3,0.1,2375.41,257.19
ORD-1203,2024-01-29,East,Groceries,Spices,Small Business,Standard,5,0.0,53.35,10.73
ORD-1204,2024-01-29,West,Stationery,Pen Set,Consumer,Standard,4,0.05,74.25,18.36
ORD-1205,2024-01-29,East,Groceries,Juice,Consumer,Standard,5,0.0,92.44,12.01
ORD-1206,2024-01-29,West,Stationery,Notebook,Small Business,Standard,4,0.0,167.39,59.0
ORD-1207,2024-01-29,Central,Stationery,Desk Organizer,Consumer,Standard,1,0.1,30.65,10.45
ORD-1208,2024-01-30,West,Stationery,Marker Pack,Consumer,Standard,2,0.0,105.0,25.19
ORD-1209,2024-01-30,Central,Furniture,Desk,Small Business,Express,5,0.0,2028.79,214.84
ORD-1210,2024-01-30,North,Stationery,Pen Set,Consumer,Standard,7,0.0,221.0,88.24
ORD-1211,2024-01-30,West,Groceries,Cereal,Consumer,Standard,4,0.0,39.99,4.75
ORD-1212,2024-01-30,West,Furniture,Dining Table,Corporate,Same Day,1,0.0,199.94,10.78
ORD-1213,2024-01-30,East,Groceries,Cereal,Corporate,Standard,3,0.0,91.04,13.84
ORD-1214,2024-01-30,South,Clothing,Jeans,Consumer,Standard,2,0.15,151.87,20.89
ORD-1215,2024-01-30,Central,Stationery,Notebook,Consumer,Standard,5,0.0,61.39,15.34
ORD-1216,2024-01-30,Central,Furniture,Desk,Small Business,Standard,1,0.15,152.59,4.2
ORD-1217,2024-01-30,North,Furniture,Desk,Corporate,Express,7,0.1,1459.41,184.95
ORD-1218,2024-01-30,South,Furniture,Desk,Consumer,Express,5,0.05,503.31,76.22
ORD-1219,2024-01-30,North,Clothing,Sneakers,Small Business,Express,7,0.2,166.32,16.64
ORD-1220,2024-01-30,South,Stationery,Notebook,Corporate,Standard,7,0.0,161.2,61.67
ORD-1221,2024-01-31,Central,Groceries,Spices,Corporate,Standard,2,0.0,17.93,2.44
ORD-1222,2024-01-31,West,Clothing,Sneakers,Corporate,Standard,7,0.0,96.2,22.38
ORD-1223,2024-01-31,North,Groceries,Cereal,Small Business,Standard,7,0.1,41.21,8.66
ORD-1224,2024-01-31,East,Furniture,Dining Table,Consumer,Express,5,0.1,1611.33,229.8
ORD-1225,2024-01-31,South,Furniture,Desk,Consumer,Standard,3,0.2,371.26,15.36
ORD-1226,2024-01-31,South,Clothing,T-Shirt,Corporate,Standard,1,0.0,58.28,19.08
ORD-1227,2024-01-31,North,Electronics,Smartwatch,Corporate,Standard,1,0.1,660.34,88.71
ORD-1228,2024-02-01,South,Electronics,Headphones,Consumer,Standard,5,0.05,424.02,27.93
ORD-1229,2024-02-01,South,Groceries,Juice,Consumer,Standard,6,0.0,37.96,8.08
ORD-1230,2024-02-01,South,Groceries,Spices,Consumer,Standard,4,0.05,124.64,12.94
ORD-1231,2024-02-01,South,Groceries,Spices,Corporate,Standard,3,0.05,41.44,7.71
ORD-1232,2024-02-01,North,Furniture,Dining Table,Corporate,Standard,7,0.0,1253.58,120.01
ORD-1233,2024-02-01,South,Stationery,Pen Set,Consumer,Express,1,0.0,26.92,7.92
ORD-1234,2024-02-01,North,Clothing,Sneakers,Corporate,Express,2,0.1,91.68,23.41
ORD-1235,2024-02-02,East,Stationery,Desk Organizer,Corporate,Standard,4,0.0,85.02,30.22
ORD-1236,2024-02-02,West,Clothing,Sneakers,Consumer,Express,7,0.05,495.28,126.39
ORD-1237,2024-02-02,Central,Groceries,Juice,Corporate,Express,6,0.0,203.93,40.64
ORD-1238,2024-02-02,West,Groceries,Coffee,Corporate,Standard,5,0.15,157.17,29.65
ORD-1239,2024-02-02,East,Clothing,T-Shirt,Consumer,Standard,7,0.05,504.66,107.36
ORD-1240,2024-02-02,North,Groceries,Juice,Consumer,Same Day,1,0.0,39.84,9.12
ORD-1241,2024-02-02,East,Clothing,T-Shirt,Consumer,Standard,6,0.0,421.67,127.98
ORD-1242,2024-02-02,North,Stationery,Backpack,Consumer,Same Day,3,0.1,18.87,4.32
ORD-1243,2024-02-02,East,Clothing,Jeans,Corporate,Standard,6,0.15,417.36,127.01
ORD-1244,2024-02-02,Central,Groceries,Cereal,Consumer,Express,4,0.0,56.85,13.66
ORD-1245,2024-02-03,East,Clothing,T-Shirt,Consumer,Express,1,0.05,36.46,8.15
ORD-1246,2024-02-03,West,Electronics,Smartphone,Consumer,Standard,1,0.0,228.02,30.75
ORD-1247,2024-02-03,Central,Electronics,Smartphone,Corporate,Standard,2,0.0,1476.94,299.86
ORD-1248,2024-02-03,West,Furniture,Office Chair,Consumer,Standard,1,0.0,424.61,39.21
ORD-1249,2024-02-04,North,Furniture,Office Chair,Corporate,Express,5,0.05,2111.4,178.46
ORD-1250,2024-02-04,Central,Groceries,Spices,Corporate,Standard,2,0.1,38.94,5.14
ORD-1251,2024-02-04,North,Groceries,Juice,Consumer,Standard,3,0.1,36.41,3.56
ORD-1252,2024-02-05,North,Groceries,Cereal,Consumer,Standard,7,0.1,242.63,33.41
ORD-1253,2024-02-05,Central,Electronics,Laptop,Small Business,Express,5,0.15,2977.3,163.63
ORD-1254,2024-02-05,East,Electronics,Smartwatch,Consumer,Standard,3,0.2,1009.59,97.91
ORD-1255,2024-02-05,West,Groceries,Snack Pack,Corporate,Standard,3,0.1,36.13,6.49
ORD-1256,2024-02-05,West,Electronics,Headphones,Corporate,Standard,4,0.1,862.97,147.83
ORD-1257,2024-02-05,Central,Stationery,Marker Pack,Consumer,Express,5,0.2,212.07,47.44
ORD-1258,2024-02-05,South,Stationery,Backpack,Consumer,Express,3,0.0,149.98,47.02
ORD-1259,2024-02-06,East,Furniture,Office Chair,Consumer,Express,3,0.05,904.37,79.55
ORD-1260,2024-02-06,Central,Stationery,Notebook,Corporate,Express,1,0.0,54.96,15.78
ORD-1261,2024-02-06,South,Stationery,Desk Organizer,Corporate,Standard,4,0.0,73.72,19.07
ORD-1262,2024-02-06,East,Electronics,Headphones,Corporate,Express,5,0.0,3711.64,754.08
ORD-1263,2024-02-06,North,Clothing,Cap,Small Business,Standard,4,0.0,282.57,95.2
ORD-1264,2024-02-06,South,Electronics,Smartphone,Consumer,Standard,3,0.05,2483.69,385.79
ORD-1265,2024-02-06,West,Electronics,Smartwatch,Consumer,Express,7,0.0,1381.75,267.69
ORD-1266,2024-02-06,Central,Stationery,Desk Organizer,Corporate,Standard,6,0.05,29.18,10.43
ORD-1267,2024-02-06,North,Clothing,Jeans,Corporate,Standard,5,0.1,149.2,25.43
ORD-1268,2024-02-07,East,Groceries,Spices,Corporate,Standard,7,0.1,43.47,3.95
ORD-1269,2024-02-07,West,Furniture,Bookshelf,Corporate,Standard,6,0.15,2419.98,29.77
ORD-1270,2024-02-07,North,Furniture,Dining Table,Consumer,Standard,6,0.05,1337.06,183.26
ORD-1271,2024-02-07,South,Electronics,Headphones,Consumer,Express,4,0.0,2002.23,265.69
ORD-1272,2024-02-07,East,Clothing,Sneakers,Consumer,Express,1,0.0,80.1,18.02
ORD-1273,2024-02-07,Central,Electronics,Smartwatch,Consumer,Standard,1,0.05,660.45,105.4
ORD-1274,2024-02-07,East,Furniture,Desk,Small Business,Standard,4,0.15,1332.84,99.3
ORD-1275,2024-02-07,West,Clothing,Sneakers,Consumer,Standard,7,0.0,108.18,37.38
ORD-1276,2024-02-08,North,Furniture,Dining Table,Small Business,Standard,6,0.0,1618.03,242.75
ORD-1277,2024-02-08,South,Groceries,Spices,Consumer,Standard,5,0.05,135.74,25.04
ORD-1278,2024-02-08,South,Furniture,Bookshelf,Consumer,Standard,5,0.15,2042.06,197.62
